month,orders,approval_h,carrier_h,transit_days,late_rate
2016-09,1,0.0,1276.92,1.61,1.0
2016-10,261,13.73,212.78,3.33,0.01
2016-12,1,0.25,78.71,1.4,0.0
2017-01,747,0.29,42.79,7.15,0.03
2017-02,1638,0.23,44.83,7.31,0.03
2017-03,2545,0.12,43.44,7.05,0.06
2017-04,2279,0.24,47.6,8.87,0.08
2017-05,3530,0.24,38.38,7.03,0.04
2017-06,3130,0.25,44.82,7.43,0.04
2017-07,3841,0.25,46.44,7.06,0.03
2017-08,4190,0.32,44.99,6.95,0.03
2017-09,4136,0.27,48.0,7.09,0.05
2017-10,4478,0.32,47.0,7.05,0.05
2017-11,7287,0.41,65.66,8.76,0.14
2017-12,5508,0.35,51.7,9.09,0.08
2018-01,7045,0.32,50.69,8.04,0.07
2018-02,6543,0.36,52.0,11.03,0.16
2018-03,7001,0.34,49.49,9.88,0.21
2018-04,6409,0.41,35.39,6.93,0.06
2018-05,6681,0.45,32.36,6.5,0.08
2018-06,5973,0.44,29.1,5.69,0.01
2018-07,5593,0.33,31.41,5.29,0.05
2018-08,6265,0.28,28.49,4.93,0.1
